Codigo PAIS|Nombre PAIS|Codigo DEPARTAMENTO|Nombre DEPARTAMENTO|Codigo PROVINCIA|Nombre PROVINCIA|Codigo MUNICIPIO|Nombre MUNICIPIO|Codigo RECINTO|Nombre RECINTO|Codigo MESA|Nombre MESA|NO|SÍ|BLANCOS|EMITIDOS|INSCRITOS|NULOS|VALIDOS
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0373703737|COLEGIO ABAROA|30160|30160|149|43|1|197|227|4|192
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0507705077|COLEGIO LA SALLE FISCAL|31500|31500|131|33|1|167|187|2|164
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1100011000|COL ESPAÑA|23935|23935|75|124|1|202|230|2|199
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1452614526|ESCUELA REPUBLICA DE JAPON|21815|21815|78|121|2|207|227|6|199
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1373813738|COLEGIO JERUSALEM|21027|21027|60|147|2|215|227|6|207
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0455404554|UNIDAD EDUCATIVA SANTA MARIA MICAELA|30977|30977|128|76|2|215|231|9|204
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1107211072|ESC TARAPACA|24007|24007|70|142|2|220|236|6|212
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2103921039|ESC. GERMAN BUSCH|70256|70256|174|25|2|203|232|2|199
BO|BOLIVIA|06|TARIJA|0601|CERCADO|060101|TARIJA|2808528085|U.E. AVELINA RAÑA|60139|60139|149|45|0|196|227|2|194
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1250012500|UNIDAD EDUCATIVA VILLA COOPERATIVA|25435|25435|60|145|6|213|235|2|205
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2443324433|COL. NUCLEO ESCOLAR RAMAFA|73650|73650|171|25|0|200|228|4|196
BO|BOLIVIA|03|COCHABAMBA|0313|MIZQUE|031301|MIZQUE|0671706717|UNIDAD EDUCATIVA UCHHAMA ALTA|35032|35032|5|133|0|139|148|1|138
BO|BOLIVIA|07|SANTA CRUZ|0710|OBISPO SANTISTEBAN|071001|MONTERO|2681926819|COL. U.E. MONTECRISTO|76560|76560|88|97|0|202|237|17|185
BO|BOLIVIA|07|SANTA CRUZ|0703|VELASCO|070302|SAN MIGUEL (SAN MIGUEL DE VELASCO)|2729327293|ESC. JOSE J.DORADO|75325|75325|142|55|1|202|229|4|197
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1137111371|COLEGIO PUERTO DEL ROSARIO|24306|24306|92|114|2|210|231|2|206
BO|BOLIVIA|07|SANTA CRUZ|0709|FLORIDA|070902|PAMPA GRANDE|2561325613|ESC. U.E. EDUARDO AVAROA|76292|76292|37|91|4|143|162|11|128
BO|BOLIVIA|06|TARIJA|0603|GRAN CHACO|060302|CARAPARÍ|2864328643|U.E. 3 DE MAYO|61157|61157|90|97|6|196|235|3|187
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0463204632|ESC. FISCAL JUAN XXIII "A" – JUANCITO PINTO|31055|31055|142|52|1|203|230|8|194
